,binary urban footprint,urban land expansion,building height,driving force,urban footprint,land price,expansion,main driving force,body mass index,residential land price
park accessibility,0.23,0.33,0.33,0.17,0.31,0.24,0.19,0.23,0.1,0.33
densification,-0.01,-0.1,-0.17,-0.21,-0.02,-0.25,0.01,-0.28,-0.22,-0.2
spatial pattern metric,0.45,0.22,0.27,0.16,0.27,0.22,0.19,0.17,0.28,0.21
land policy,0.23,0.73,0.36,0.41,0.35,0.72,0.42,0.45,0.32,0.69
mapping urban form,0.59,0.64,0.32,0.3,0.59,0.33,0.32,0.35,0.34,0.42
city block level,0.22,0.51,0.6,0.44,0.32,0.46,0.36,0.56,0.41,0.54
open space area,0.33,0.59,0.5,0.37,0.4,0.47,0.39,0.48,0.35,0.54
park accessibility change,0.31,0.45,0.41,0.33,0.38,0.37,0.31,0.39,0.24,0.41
predict building height,0.23,0.41,0.87,0.32,0.28,0.41,0.38,0.4,0.4,0.48
land readjustment policy,0.24,0.62,0.3,0.31,0.34,0.57,0.38,0.32,0.25,0.56
