,urban planning reform,expert system,urban information system,heterogeneous expert knowledge,democratic urban land,expert system approach,intelligent decision making,mathematical programming,expert,urban land dynamic
stream water quality,0.35,0.37,0.53,0.26,0.39,0.41,0.33,0.23,0.17,0.46
carbon sequestration potential,0.24,0.24,0.31,0.2,0.19,0.28,0.27,0.08,0.09,0.25
flood,0.24,0.23,0.31,0.03,0.29,0.23,0.11,0.02,0.13,0.25
complexity science research,0.43,0.49,0.52,0.56,0.3,0.53,0.41,0.52,0.42,0.37
automata,-0.09,-0.06,-0.05,0.07,-0.09,-0.04,0.02,0.27,-0.1,-0.01
land use change,0.58,0.48,0.63,0.34,0.69,0.57,0.58,0.23,0.23,0.72
mosquito,-0.01,0.09,0.1,0.04,0.02,0.09,-0.01,0.01,0.08,0.08
analog,0.02,0.16,0.22,0.04,0.05,0.2,0.16,0.34,-0.03,0.14
cellular automata,0.02,0.11,0.16,0.17,0.0,0.12,0.14,0.28,-0.01,0.11
urban land growth,0.73,0.34,0.65,0.25,0.79,0.39,0.37,0.13,0.15,0.87
