,person detection method,freeway,task scheduling algorithm,sustainable smart city,urban data management,smart city application,urban freeway corridor,anomaly detection,person detection,freeway corridor
urban planning reform,0.24,0.15,0.25,0.59,0.69,0.51,0.48,0.04,0.19,0.22
expert system,0.51,0.07,0.29,0.38,0.56,0.45,0.21,0.32,0.46,0.11
urban information system,0.5,0.18,0.32,0.57,0.83,0.62,0.48,0.27,0.45,0.26
heterogeneous expert knowledge,0.46,-0.1,0.28,0.3,0.48,0.33,0.11,0.28,0.42,0.0
democratic urban land,0.21,0.15,0.13,0.52,0.58,0.45,0.48,0.0,0.18,0.23
expert system approach,0.59,0.08,0.37,0.48,0.6,0.52,0.24,0.35,0.5,0.13
intelligent decision making,0.49,0.03,0.35,0.55,0.42,0.63,0.15,0.19,0.45,0.07
mathematical programming,0.34,-0.01,0.49,0.19,0.35,0.32,0.06,0.2,0.21,0.01
expert,0.28,-0.01,0.12,0.22,0.31,0.2,0.1,0.14,0.28,0.02
urban land dynamic,0.32,0.19,0.23,0.59,0.69,0.52,0.55,0.13,0.27,0.29
