,topic modeling,retail store placement,store placement problem,syntactic,store,leisure,heterogeneous urban data,store placement,business,functional region
binary urban footprint,0.18,0.26,0.31,0.26,0.18,0.23,0.58,0.22,0.17,0.35
urban land expansion,0.16,0.33,0.37,-0.07,0.24,0.24,0.52,0.26,0.4,0.39
building height,0.14,0.37,0.42,0.0,0.31,0.08,0.17,0.37,0.3,0.3
driving force,0.16,0.14,0.27,-0.12,0.13,0.09,0.18,0.11,0.3,0.29
urban footprint,0.12,0.29,0.28,0.04,0.19,0.28,0.57,0.2,0.24,0.36
land price,0.1,0.41,0.42,-0.07,0.31,0.11,0.23,0.34,0.37,0.26
expansion,0.14,0.3,0.29,-0.07,0.22,0.14,0.26,0.23,0.36,0.3
main driving force,0.21,0.22,0.35,-0.09,0.2,0.12,0.23,0.18,0.38,0.4
body mass index,0.22,0.31,0.33,-0.08,0.23,0.12,0.32,0.26,0.31,0.33
residential land price,0.11,0.48,0.45,-0.07,0.33,0.23,0.35,0.39,0.43,0.32
