,land cover classification,land cover,data weighting method,urban land cover,optical,land cover mapping,cover,image classification,data weighting,eight machine learning
temperature,0.26,0.17,0.33,0.17,0.22,0.23,0.21,0.24,0.28,0.18
thermal,0.19,0.13,0.22,0.14,0.41,0.21,0.13,0.27,0.16,0.11
cooling,0.13,0.11,0.27,0.12,0.24,0.11,0.14,0.1,0.22,0.16
surface temperature,0.38,0.31,0.34,0.3,0.31,0.39,0.3,0.3,0.26,0.24
energy,0.21,0.23,0.26,0.26,0.18,0.26,0.16,0.16,0.25,0.21
land surface temperature,0.61,0.61,0.32,0.58,0.25,0.64,0.36,0.31,0.23,0.29
urban heat island,0.47,0.48,0.23,0.65,0.1,0.45,0.34,0.26,0.17,0.35
ventilation,0.1,0.04,0.19,0.06,0.22,0.05,0.09,0.1,0.12,0.08
thermal comfort,0.21,0.18,0.25,0.21,0.32,0.2,0.18,0.28,0.18,0.2
comfort,0.13,0.15,0.16,0.19,0.04,0.09,0.15,0.14,0.13,0.22
