,land use category,essential urban land,urban functional zone,urban land use,urban poverty,functional zone classification,urban functional area,identify urban poverty,poverty,urban functional
smart city ecosystem,0.42,0.56,0.48,0.53,0.37,0.3,0.54,0.41,0.18,0.46
innovation,0.26,0.34,0.31,0.29,0.27,0.22,0.31,0.29,0.17,0.34
application area,0.58,0.55,0.57,0.61,0.31,0.51,0.69,0.39,0.16,0.49
artificial intelligence technology,0.41,0.38,0.35,0.42,0.19,0.31,0.37,0.3,0.12,0.34
smart city initiative,0.44,0.52,0.42,0.54,0.39,0.23,0.45,0.44,0.23,0.37
sharing economy,0.38,0.43,0.34,0.38,0.37,0.25,0.3,0.39,0.37,0.25
city ecosystem,0.34,0.55,0.46,0.48,0.39,0.29,0.54,0.4,0.22,0.41
increasingly turning toward,0.4,0.44,0.33,0.42,0.35,0.21,0.35,0.39,0.31,0.29
turning toward specialized,0.43,0.42,0.37,0.41,0.3,0.29,0.4,0.37,0.24,0.36
toward specialized technology,0.48,0.44,0.4,0.46,0.3,0.33,0.44,0.39,0.21,0.41
