,aerial,point cloud,detection,deep,cloud,object,building detection,segmentation,semantic segmentation,airborne
landscape pattern,0.24,0.33,0.13,0.26,0.29,0.32,0.26,0.08,0.16,0.06
land cover pattern,0.3,0.44,0.2,0.38,0.31,0.34,0.37,-0.02,0.04,0.13
urban greenness space,0.21,0.18,0.13,0.21,0.17,0.25,0.31,-0.04,0.04,0.12
landscape,0.21,0.24,0.0,0.19,0.25,0.17,0.16,-0.03,0.06,0.03
various land cover,0.28,0.37,0.16,0.35,0.26,0.25,0.36,-0.12,-0.05,0.14
dust,0.09,0.37,0.22,0.2,0.47,0.22,0.28,-0.07,-0.06,0.29
sediment yield,0.13,0.34,0.15,0.26,0.21,0.15,0.16,0.04,0.1,0.1
urban greenness,0.1,-0.02,0.06,0.07,0.03,0.03,0.1,0.04,0.08,0.02
sediment,0.09,0.2,0.09,0.26,0.21,0.09,0.06,0.11,0.17,0.19
watershed soil erosion,0.17,0.25,0.18,0.32,0.17,0.08,0.2,0.04,0.1,0.13
