,land use category,essential urban land,urban functional zone,urban land use,urban poverty,functional zone classification,urban functional area,identify urban poverty,poverty,urban functional
signal,0.24,0.18,0.23,0.2,0.06,0.25,0.25,0.14,0.02,0.19
positioning,0.19,0.14,0.15,0.17,0.02,0.19,0.15,0.11,0.0,0.15
positioning accuracy,0.25,0.18,0.19,0.2,0.06,0.25,0.2,0.16,0.06,0.19
multipath,-0.12,-0.12,-0.04,-0.13,-0.02,0.01,-0.08,-0.03,-0.01,-0.01
path loss,0.34,0.34,0.29,0.33,0.27,0.22,0.26,0.3,0.26,0.21
localization,0.01,0.08,0.17,0.02,0.07,0.2,0.16,0.1,0.06,0.22
positioning performance,0.35,0.23,0.25,0.26,0.12,0.3,0.25,0.21,0.1,0.26
receiver,0.1,0.04,0.12,0.09,-0.02,0.12,0.09,0.01,-0.06,0.05
reception,0.07,0.07,0.16,0.08,0.06,0.16,0.16,0.07,0.02,0.1
fingerprint,0.02,0.0,0.03,0.01,-0.05,0.13,0.06,0.11,-0.05,0.08
