,land cover,land cover change,cropland,cover,land cover map,annual,impervious surface,green area,land use change,annual growth rate
traffic,0.25,0.31,-0.03,0.17,0.28,0.2,0.14,0.29,0.35,0.28
traffic light control,0.43,0.53,-0.04,0.3,0.45,0.22,0.24,0.46,0.59,0.34
road traffic safety,0.35,0.41,-0.05,0.24,0.38,0.21,0.15,0.44,0.44,0.27
traffic control,0.38,0.46,-0.01,0.22,0.4,0.2,0.18,0.35,0.54,0.33
traffic control system,0.41,0.51,-0.04,0.24,0.44,0.22,0.21,0.37,0.61,0.36
routing,0.02,0.08,0.06,0.0,0.1,-0.04,0.12,0.06,0.15,-0.01
light control,0.45,0.55,-0.03,0.32,0.46,0.19,0.25,0.47,0.62,0.31
traffic safety,0.3,0.37,-0.03,0.26,0.31,0.21,0.13,0.36,0.41,0.28
pedestrian,0.1,0.1,0.05,0.07,0.12,0.02,0.16,0.25,0.12,0.08
congestion,0.15,0.2,0.03,0.11,0.14,0.09,0.12,0.16,0.22,0.21
