,land use category,essential urban land,urban functional zone,urban land use,urban poverty,functional zone classification,urban functional area,identify urban poverty,poverty,urban functional
landscape pattern,0.32,0.39,0.41,0.41,0.31,0.35,0.46,0.34,0.16,0.42
land cover pattern,0.68,0.65,0.44,0.72,0.38,0.35,0.5,0.44,0.28,0.38
urban greenness space,0.41,0.64,0.64,0.62,0.57,0.35,0.67,0.54,0.27,0.69
landscape,0.28,0.42,0.35,0.4,0.31,0.23,0.43,0.3,0.11,0.37
various land cover,0.71,0.69,0.42,0.75,0.38,0.31,0.5,0.46,0.28,0.36
dust,0.18,0.21,0.19,0.22,0.17,0.14,0.19,0.2,0.13,0.14
sediment yield,0.21,0.22,0.23,0.22,0.14,0.25,0.22,0.17,0.13,0.21
urban greenness,0.21,0.55,0.55,0.5,0.61,0.23,0.58,0.55,0.3,0.64
sediment,0.07,0.14,0.19,0.13,0.12,0.19,0.19,0.12,0.08,0.19
watershed soil erosion,0.31,0.44,0.31,0.41,0.31,0.26,0.37,0.31,0.24,0.28
