,urban planning reform,expert system,urban information system,heterogeneous expert knowledge,democratic urban land,expert system approach,intelligent decision making,mathematical programming,expert,urban land dynamic
carbon emission,0.18,0.19,0.26,0.11,0.15,0.23,0.17,0.06,0.02,0.23
climate change mitigation,0.46,0.41,0.45,0.31,0.37,0.49,0.35,0.14,0.28,0.43
emission,0.14,0.14,0.2,0.07,0.11,0.18,0.12,0.07,-0.01,0.18
built environment factor,0.49,0.45,0.58,0.34,0.49,0.5,0.47,0.27,0.2,0.58
heterogeneous urban environment,0.61,0.36,0.65,0.59,0.56,0.4,0.31,0.25,0.19,0.72
climate,0.36,0.38,0.38,0.31,0.32,0.42,0.25,0.1,0.29,0.36
urban data science,0.64,0.54,0.79,0.5,0.55,0.56,0.42,0.44,0.36,0.64
air quality monitoring,0.39,0.52,0.59,0.31,0.36,0.55,0.42,0.21,0.31,0.4
air quality,0.33,0.4,0.5,0.24,0.35,0.44,0.39,0.21,0.21,0.4
carbon,0.18,0.2,0.26,0.12,0.16,0.24,0.2,0.04,0.05,0.23
