,land cover,land cover change,cropland,cover,land cover map,annual,impervious surface,green area,land use change,annual growth rate
topic modeling,0.17,0.28,-0.08,0.23,0.24,0.16,0.19,0.11,0.29,0.2
retail store placement,0.27,0.33,-0.13,0.24,0.29,0.25,-0.01,0.29,0.33,0.39
store placement problem,0.38,0.47,-0.09,0.33,0.41,0.23,0.11,0.34,0.5,0.38
syntactic,-0.07,-0.02,0.02,-0.04,-0.03,-0.11,0.1,-0.13,0.02,-0.11
store,0.25,0.29,-0.14,0.22,0.26,0.18,-0.03,0.3,0.29,0.23
leisure,0.12,0.13,-0.08,0.07,0.1,0.14,0.03,0.22,0.15,0.15
heterogeneous urban data,0.26,0.33,0.01,0.17,0.33,0.15,0.26,0.28,0.39,0.37
store placement,0.27,0.33,-0.11,0.24,0.3,0.2,0.02,0.26,0.34,0.29
business,0.33,0.42,-0.16,0.26,0.31,0.33,0.02,0.33,0.44,0.42
functional region,0.29,0.37,0.05,0.21,0.39,0.13,0.22,0.42,0.41,0.27
