,smart city ecosystem,innovation,application area,artificial intelligence technology,smart city initiative,sharing economy,city ecosystem,increasingly turning toward,turning toward specialized,toward specialized technology
land use category,0.42,0.26,0.58,0.41,0.44,0.38,0.34,0.4,0.43,0.48
essential urban land,0.56,0.34,0.55,0.38,0.52,0.43,0.55,0.44,0.42,0.44
urban functional zone,0.48,0.31,0.57,0.35,0.42,0.34,0.46,0.33,0.37,0.4
urban land use,0.53,0.29,0.61,0.42,0.54,0.38,0.48,0.42,0.41,0.46
urban poverty,0.37,0.27,0.31,0.19,0.39,0.37,0.39,0.35,0.3,0.3
functional zone classification,0.3,0.22,0.51,0.31,0.23,0.25,0.29,0.21,0.29,0.33
urban functional area,0.54,0.31,0.69,0.37,0.45,0.3,0.54,0.35,0.4,0.44
identify urban poverty,0.41,0.29,0.39,0.3,0.44,0.39,0.4,0.39,0.37,0.39
poverty,0.18,0.17,0.16,0.12,0.23,0.37,0.22,0.31,0.24,0.21
urban functional,0.46,0.34,0.49,0.34,0.37,0.25,0.41,0.29,0.36,0.41
