,road traffic noise,urban form indicator,interface network,interface network connectivity,classical urban design,housing estate,greenway suitability analysis,using network analysis,economic assessment using,assessment using machine
binary urban footprint,0.27,0.53,0.45,0.47,0.48,0.19,0.23,0.43,0.28,0.29
urban land expansion,0.41,0.59,0.29,0.29,0.55,0.56,0.17,0.37,0.47,0.33
building height,0.36,0.33,0.18,0.16,0.42,0.4,0.15,0.32,0.35,0.35
driving force,0.47,0.31,0.17,0.13,0.26,0.25,0.03,0.35,0.44,0.42
urban footprint,0.34,0.57,0.33,0.38,0.56,0.32,0.19,0.35,0.3,0.22
land price,0.32,0.37,0.14,0.14,0.26,0.51,0.13,0.31,0.4,0.33
expansion,0.24,0.3,0.25,0.25,0.3,0.31,0.14,0.3,0.43,0.27
main driving force,0.53,0.42,0.26,0.21,0.35,0.29,0.06,0.42,0.48,0.45
body mass index,0.22,0.49,0.24,0.22,0.28,0.25,0.07,0.41,0.43,0.37
residential land price,0.39,0.46,0.2,0.21,0.38,0.68,0.15,0.32,0.41,0.33
