,smart city ecosystem,innovation,application area,artificial intelligence technology,smart city initiative,sharing economy,city ecosystem,increasingly turning toward,turning toward specialized,toward specialized technology
crash,0.1,0.0,0.16,0.16,0.09,0.16,0.12,0.14,0.15,0.16
vehicle ownership,0.34,0.25,0.41,0.26,0.38,0.37,0.25,0.35,0.35,0.39
crime,0.22,0.1,0.22,0.22,0.32,0.24,0.19,0.31,0.29,0.25
ownership,0.24,0.21,0.29,0.13,0.27,0.33,0.23,0.27,0.2,0.23
waterlogging,-0.08,-0.05,-0.08,-0.15,-0.18,-0.15,-0.0,-0.2,-0.25,-0.24
opportunistic,0.11,0.08,-0.05,0.05,0.09,-0.02,0.02,0.09,0.04,0.04
public transportation route,0.39,0.22,0.43,0.34,0.49,0.39,0.38,0.38,0.38,0.42
scale urban problem,0.47,0.31,0.51,0.37,0.46,0.43,0.45,0.45,0.44,0.44
real world data,0.43,0.29,0.45,0.54,0.45,0.54,0.36,0.42,0.41,0.48
game abstraction framework,0.35,0.35,0.45,0.36,0.31,0.33,0.29,0.34,0.36,0.41
