,park accessibility,densification,spatial pattern metric,land policy,mapping urban form,city block level,open space area,park accessibility change,predict building height,land readjustment policy
person detection method,0.15,-0.15,0.38,0.28,0.44,0.31,0.32,0.29,0.37,0.2
freeway,0.31,0.05,-0.03,0.09,0.2,0.21,0.18,0.25,0.14,0.08
task scheduling algorithm,0.15,0.01,0.34,0.16,0.32,0.21,0.21,0.24,0.17,0.17
sustainable smart city,0.35,-0.17,0.16,0.46,0.47,0.6,0.44,0.46,0.4,0.36
urban data management,0.29,-0.12,0.36,0.53,0.7,0.51,0.51,0.43,0.37,0.43
smart city application,0.35,-0.22,0.18,0.42,0.47,0.65,0.47,0.46,0.4,0.32
urban freeway corridor,0.39,-0.01,0.11,0.31,0.51,0.41,0.43,0.37,0.25,0.27
anomaly detection,0.12,0.01,0.34,0.07,0.22,0.07,0.15,0.19,0.21,0.1
person detection,0.18,-0.19,0.29,0.25,0.33,0.31,0.3,0.29,0.35,0.17
freeway corridor,0.34,-0.0,0.05,0.18,0.27,0.3,0.32,0.28,0.19,0.14
