,landscape pattern,land cover pattern,urban greenness space,landscape,various land cover,dust,sediment yield,urban greenness,sediment,watershed soil erosion
crash,0.08,0.22,0.07,0.06,0.22,0.16,0.04,-0.08,0.0,0.07
vehicle ownership,0.2,0.47,0.27,0.16,0.5,0.11,0.13,0.1,0.02,0.16
crime,0.21,0.3,0.19,0.11,0.28,0.1,0.04,0.16,-0.02,0.17
ownership,0.19,0.4,0.16,0.15,0.42,0.02,0.1,0.07,0.05,0.18
waterlogging,-0.03,-0.05,0.0,-0.01,-0.06,0.07,0.13,0.11,0.22,0.26
opportunistic,0.05,0.04,-0.04,-0.05,-0.01,-0.05,0.01,-0.02,-0.01,0.04
public transportation route,0.25,0.39,0.3,0.23,0.45,0.06,0.13,0.14,0.05,0.17
scale urban problem,0.46,0.55,0.58,0.37,0.52,0.24,0.22,0.48,0.15,0.37
real world data,0.27,0.42,0.36,0.21,0.47,0.19,0.2,0.11,0.04,0.18
game abstraction framework,0.39,0.36,0.24,0.3,0.32,0.13,0.21,0.1,0.16,0.21
