,crash,vehicle ownership,crime,ownership,waterlogging,opportunistic,public transportation route,scale urban problem,real world data,game abstraction framework
urban planning reform,0.12,0.38,0.37,0.33,-0.12,0.0,0.51,0.7,0.42,0.31
expert system,0.25,0.32,0.31,0.2,-0.16,0.04,0.45,0.46,0.47,0.35
urban information system,0.23,0.46,0.38,0.34,-0.15,0.03,0.59,0.66,0.62,0.41
heterogeneous expert knowledge,0.05,0.23,0.22,0.2,-0.09,0.12,0.22,0.37,0.41,0.34
democratic urban land,0.16,0.43,0.3,0.39,-0.1,-0.0,0.45,0.63,0.4,0.26
expert system approach,0.24,0.37,0.33,0.25,-0.17,0.12,0.48,0.53,0.5,0.47
intelligent decision making,0.14,0.34,0.27,0.24,-0.25,0.17,0.41,0.39,0.5,0.4
mathematical programming,0.0,0.18,0.11,0.19,-0.07,0.06,0.14,0.26,0.36,0.51
expert,0.17,0.09,0.25,0.02,-0.15,0.01,0.22,0.28,0.29,0.1
urban land dynamic,0.14,0.49,0.28,0.42,-0.02,0.01,0.43,0.7,0.49,0.37
