,urban planning reform,expert system,urban information system,heterogeneous expert knowledge,democratic urban land,expert system approach,intelligent decision making,mathematical programming,expert,urban land dynamic
land use category,0.47,0.43,0.59,0.29,0.59,0.49,0.48,0.29,0.21,0.66
essential urban land,0.73,0.39,0.68,0.34,0.82,0.45,0.44,0.18,0.21,0.87
urban functional zone,0.59,0.36,0.63,0.32,0.56,0.42,0.29,0.27,0.17,0.67
urban land use,0.7,0.45,0.71,0.33,0.81,0.5,0.45,0.19,0.23,0.87
urban poverty,0.69,0.3,0.58,0.23,0.66,0.33,0.2,0.12,0.17,0.68
functional zone classification,0.31,0.38,0.49,0.36,0.28,0.43,0.26,0.33,0.14,0.4
urban functional area,0.64,0.38,0.67,0.35,0.64,0.44,0.31,0.33,0.2,0.74
identify urban poverty,0.68,0.38,0.65,0.35,0.64,0.42,0.28,0.18,0.24,0.67
poverty,0.45,0.22,0.37,0.15,0.43,0.24,0.13,0.08,0.11,0.41
urban functional,0.64,0.35,0.64,0.37,0.56,0.41,0.29,0.36,0.18,0.68
