,smart city ecosystem,innovation,application area,artificial intelligence technology,smart city initiative,sharing economy,city ecosystem,increasingly turning toward,turning toward specialized,toward specialized technology
park accessibility,0.38,0.26,0.44,0.27,0.32,0.15,0.38,0.2,0.19,0.28
densification,-0.21,0.02,-0.24,-0.21,-0.24,-0.16,-0.15,-0.19,-0.18,-0.17
spatial pattern metric,0.14,0.15,0.3,0.27,0.11,0.15,0.13,0.13,0.2,0.23
land policy,0.38,0.31,0.51,0.4,0.47,0.45,0.34,0.46,0.4,0.42
mapping urban form,0.49,0.31,0.53,0.44,0.45,0.38,0.47,0.35,0.39,0.44
city block level,0.58,0.23,0.58,0.37,0.66,0.37,0.58,0.39,0.42,0.42
open space area,0.46,0.26,0.65,0.41,0.46,0.35,0.45,0.41,0.44,0.46
park accessibility change,0.48,0.38,0.52,0.38,0.44,0.32,0.45,0.38,0.34,0.4
predict building height,0.37,0.25,0.41,0.4,0.38,0.36,0.32,0.36,0.37,0.4
land readjustment policy,0.28,0.32,0.38,0.3,0.34,0.34,0.22,0.34,0.28,0.31
