,urban planning reform,expert system,urban information system,heterogeneous expert knowledge,democratic urban land,expert system approach,intelligent decision making,mathematical programming,expert,urban land dynamic
temperature,0.06,0.18,0.22,0.12,0.07,0.2,0.13,0.09,0.01,0.2
thermal,0.01,0.17,0.19,0.07,0.06,0.16,0.03,0.08,0.0,0.19
cooling,0.11,0.25,0.23,0.09,0.07,0.24,0.13,0.08,0.03,0.18
surface temperature,0.1,0.23,0.3,0.18,0.17,0.27,0.18,0.13,0.03,0.3
energy,0.34,0.32,0.38,0.25,0.27,0.35,0.29,0.19,0.23,0.33
land surface temperature,0.27,0.29,0.42,0.21,0.45,0.34,0.28,0.11,0.06,0.56
urban heat island,0.52,0.34,0.57,0.2,0.61,0.37,0.29,0.11,0.15,0.63
ventilation,0.07,0.23,0.22,0.08,-0.03,0.21,0.05,0.05,0.03,0.08
thermal comfort,0.08,0.21,0.28,0.13,0.12,0.23,0.14,0.09,0.05,0.24
comfort,0.13,0.15,0.25,0.15,0.15,0.2,0.21,0.06,0.09,0.19
