,soundscape,perception,street,greenery,public space,street greenery,human perception,perceptual,pedestrian,street view image
urban planning reform,-0.08,0.19,0.23,0.06,0.5,0.21,0.32,-0.05,0.16,0.35
expert system,-0.06,0.25,0.17,-0.11,0.42,0.06,0.43,0.11,0.08,0.35
urban information system,-0.01,0.31,0.25,0.07,0.59,0.24,0.44,0.09,0.23,0.45
heterogeneous expert knowledge,0.09,0.37,0.01,-0.04,0.31,-0.02,0.47,0.26,0.07,0.2
democratic urban land,-0.11,0.19,0.2,0.12,0.47,0.23,0.36,-0.08,0.14,0.36
expert system approach,-0.05,0.34,0.2,-0.1,0.47,0.09,0.49,0.11,0.14,0.45
intelligent decision making,-0.13,0.33,0.19,-0.09,0.47,0.09,0.46,0.02,0.13,0.43
mathematical programming,0.05,0.21,0.05,-0.04,0.3,0.01,0.25,0.24,0.03,0.21
expert,-0.06,0.13,0.1,-0.14,0.2,-0.01,0.32,0.06,0.02,0.19
urban land dynamic,0.05,0.27,0.19,0.18,0.48,0.26,0.36,0.03,0.23,0.38
