,land cover,land cover change,cropland,cover,land cover map,annual,impervious surface,green area,land use change,annual growth rate
crash,0.23,0.25,-0.05,0.18,0.23,0.05,0.11,0.19,0.22,0.13
vehicle ownership,0.5,0.54,0.03,0.26,0.45,0.19,0.09,0.33,0.57,0.32
crime,0.25,0.29,-0.2,0.23,0.25,0.17,0.1,0.18,0.29,0.28
ownership,0.42,0.46,0.05,0.14,0.35,0.12,0.01,0.21,0.51,0.23
waterlogging,-0.04,-0.08,0.32,-0.09,-0.06,-0.1,0.15,-0.15,-0.08,-0.16
opportunistic,-0.03,0.0,0.06,-0.04,-0.08,0.0,0.12,-0.08,0.04,0.04
public transportation route,0.4,0.45,-0.04,0.27,0.44,0.27,0.11,0.44,0.51,0.33
scale urban problem,0.48,0.56,0.02,0.33,0.52,0.25,0.25,0.45,0.59,0.43
real world data,0.4,0.51,-0.13,0.29,0.46,0.36,0.16,0.32,0.56,0.52
game abstraction framework,0.25,0.35,-0.04,0.21,0.33,0.19,0.17,0.25,0.39,0.27
