,land use category,essential urban land,urban functional zone,urban land use,urban poverty,functional zone classification,urban functional area,identify urban poverty,poverty,urban functional
smart infrastructure system,0.52,0.54,0.48,0.55,0.39,0.4,0.48,0.45,0.26,0.48
smart infrastructure,0.44,0.5,0.42,0.48,0.36,0.27,0.43,0.41,0.22,0.45
infrastructure system,0.5,0.55,0.48,0.55,0.43,0.43,0.5,0.48,0.33,0.48
outbreak,0.13,0.15,0.1,0.14,0.15,0.05,0.12,0.21,0.17,0.02
smart city network,0.45,0.49,0.44,0.53,0.35,0.25,0.47,0.4,0.16,0.39
data sharing,0.38,0.34,0.31,0.35,0.23,0.33,0.3,0.33,0.21,0.27
governance,0.17,0.34,0.28,0.25,0.38,0.24,0.28,0.38,0.37,0.33
smart,0.3,0.25,0.23,0.29,0.12,0.13,0.21,0.18,0.01,0.25
urban governance,0.36,0.7,0.63,0.62,0.76,0.35,0.67,0.72,0.51,0.71
air quality,0.44,0.44,0.37,0.46,0.26,0.29,0.38,0.31,0.15,0.33
