,travel,traffic,urban human mobility,mobility,human mobility,bike,transit,transportation mode recognition,trajectory,human mobility data
land cover,0.33,0.25,0.37,0.11,0.26,0.17,0.2,0.31,0.07,0.3
land cover change,0.37,0.31,0.46,0.18,0.36,0.2,0.21,0.42,0.15,0.41
cropland,-0.17,-0.03,-0.01,-0.01,-0.04,-0.05,-0.03,-0.07,0.04,-0.09
cover,0.28,0.17,0.2,0.03,0.14,0.12,0.11,0.24,0.04,0.19
land cover map,0.36,0.28,0.38,0.12,0.27,0.22,0.25,0.37,0.15,0.35
annual,0.26,0.2,0.2,0.06,0.16,0.12,0.12,0.22,0.04,0.24
impervious surface,0.02,0.14,0.27,0.2,0.23,0.08,0.08,0.1,0.29,0.23
green area,0.27,0.29,0.35,0.11,0.18,0.22,0.27,0.34,-0.01,0.22
land use change,0.39,0.35,0.52,0.24,0.44,0.22,0.28,0.5,0.15,0.5
annual growth rate,0.27,0.28,0.37,0.2,0.29,0.13,0.19,0.34,0.24,0.42
