,crash,vehicle ownership,crime,ownership,waterlogging,opportunistic,public transportation route,scale urban problem,real world data,game abstraction framework
land cover classification,0.2,0.49,0.26,0.4,-0.05,0.01,0.41,0.48,0.44,0.32
land cover,0.23,0.5,0.25,0.42,-0.04,-0.03,0.4,0.48,0.4,0.25
data weighting method,0.09,0.26,0.16,0.18,-0.13,0.06,0.26,0.34,0.53,0.35
urban land cover,0.19,0.49,0.32,0.4,-0.04,-0.05,0.46,0.68,0.43,0.27
optical,-0.03,0.09,0.03,-0.0,-0.03,0.1,0.1,0.19,0.25,0.18
land cover mapping,0.2,0.45,0.25,0.34,-0.01,-0.02,0.41,0.52,0.46,0.35
cover,0.18,0.26,0.23,0.14,-0.09,-0.04,0.27,0.33,0.29,0.21
image classification,0.08,0.26,0.22,0.17,-0.05,0.06,0.23,0.34,0.41,0.31
data weighting,0.1,0.21,0.11,0.14,-0.12,0.03,0.19,0.25,0.53,0.27
eight machine learning,0.22,0.33,0.21,0.16,-0.29,-0.07,0.32,0.38,0.49,0.38
