,land use category,essential urban land,urban functional zone,urban land use,urban poverty,functional zone classification,urban functional area,identify urban poverty,poverty,urban functional
travel,0.39,0.33,0.25,0.34,0.17,0.2,0.23,0.22,0.11,0.15
traffic,0.32,0.32,0.34,0.37,0.25,0.24,0.35,0.29,0.14,0.28
urban human mobility,0.48,0.69,0.64,0.66,0.67,0.39,0.67,0.67,0.46,0.7
mobility,0.24,0.29,0.34,0.27,0.26,0.29,0.34,0.25,0.19,0.39
human mobility,0.39,0.44,0.4,0.41,0.37,0.33,0.41,0.42,0.33,0.44
bike,0.24,0.18,0.16,0.24,0.1,0.16,0.2,0.09,-0.01,0.16
transit,0.21,0.33,0.24,0.35,0.21,0.15,0.29,0.22,0.08,0.22
transportation mode recognition,0.49,0.48,0.44,0.47,0.3,0.41,0.46,0.37,0.18,0.44
trajectory,0.11,0.09,0.13,0.09,0.09,0.16,0.11,0.1,0.09,0.13
human mobility data,0.46,0.45,0.43,0.45,0.37,0.41,0.45,0.45,0.32,0.46
