,topic modeling,retail store placement,store placement problem,syntactic,store,leisure,heterogeneous urban data,store placement,business,functional region
land use category,0.29,0.35,0.46,0.06,0.26,0.21,0.38,0.35,0.42,0.41
essential urban land,0.21,0.3,0.39,-0.0,0.22,0.25,0.55,0.25,0.39,0.46
urban functional zone,0.26,0.29,0.36,0.08,0.2,0.3,0.59,0.24,0.29,0.7
urban land use,0.21,0.32,0.43,-0.02,0.26,0.23,0.55,0.29,0.39,0.41
urban poverty,0.19,0.17,0.28,-0.02,0.1,0.16,0.53,0.12,0.24,0.35
functional zone classification,0.32,0.23,0.33,0.19,0.12,0.2,0.47,0.24,0.19,0.68
urban functional area,0.31,0.34,0.44,0.1,0.27,0.31,0.62,0.29,0.35,0.74
identify urban poverty,0.25,0.23,0.4,-0.0,0.17,0.14,0.57,0.22,0.29,0.42
poverty,0.16,0.07,0.23,-0.01,0.03,0.02,0.29,0.06,0.16,0.27
urban functional,0.31,0.29,0.37,0.2,0.19,0.3,0.65,0.24,0.28,0.7
