,land use category,essential urban land,urban functional zone,urban land use,urban poverty,functional zone classification,urban functional area,identify urban poverty,poverty,urban functional
land cover,0.72,0.7,0.38,0.76,0.37,0.25,0.45,0.4,0.26,0.29
land cover change,0.73,0.72,0.43,0.77,0.43,0.32,0.5,0.49,0.33,0.37
cropland,0.09,0.16,0.04,0.15,0.06,0.0,0.07,0.03,0.05,0.03
cover,0.41,0.33,0.27,0.38,0.2,0.21,0.29,0.26,0.14,0.19
land cover map,0.67,0.67,0.42,0.71,0.37,0.34,0.49,0.43,0.28,0.34
annual,0.29,0.22,0.16,0.25,0.22,0.17,0.19,0.2,0.2,0.11
impervious surface,0.2,0.25,0.3,0.26,0.17,0.27,0.3,0.2,0.09,0.29
green area,0.47,0.54,0.55,0.59,0.34,0.41,0.64,0.37,0.16,0.41
land use change,0.83,0.74,0.43,0.87,0.42,0.35,0.52,0.51,0.33,0.41
annual growth rate,0.38,0.4,0.34,0.4,0.42,0.27,0.34,0.41,0.39,0.27
