,crash,vehicle ownership,crime,ownership,waterlogging,opportunistic,public transportation route,scale urban problem,real world data,game abstraction framework
topic modeling,0.09,0.13,0.22,0.08,-0.02,0.01,0.2,0.36,0.4,0.4
retail store placement,0.06,0.34,0.15,0.25,-0.19,-0.03,0.3,0.31,0.41,0.22
store placement problem,0.15,0.39,0.28,0.29,-0.08,0.01,0.35,0.55,0.47,0.34
syntactic,-0.13,-0.04,-0.03,0.04,0.21,0.05,-0.12,0.04,-0.03,0.22
store,0.05,0.27,0.11,0.18,-0.15,-0.06,0.21,0.22,0.33,0.13
leisure,-0.02,0.2,0.04,0.17,-0.09,-0.0,0.25,0.14,0.2,0.03
heterogeneous urban data,0.05,0.32,0.25,0.25,-0.07,0.05,0.32,0.57,0.57,0.35
store placement,0.07,0.32,0.13,0.22,-0.15,-0.03,0.26,0.26,0.33,0.23
business,0.16,0.41,0.25,0.36,-0.23,0.05,0.45,0.39,0.51,0.27
functional region,0.13,0.28,0.19,0.19,-0.08,-0.05,0.32,0.5,0.31,0.35
