,soundscape,perception,street,greenery,public space,street greenery,human perception,perceptual,pedestrian,street view image
land use category,-0.15,0.17,0.24,0.07,0.51,0.22,0.34,-0.04,0.15,0.4
essential urban land,-0.05,0.23,0.19,0.2,0.5,0.28,0.39,-0.04,0.21,0.34
urban functional zone,0.06,0.21,0.16,0.15,0.39,0.22,0.31,0.13,0.36,0.26
urban land use,-0.07,0.2,0.26,0.19,0.55,0.32,0.36,-0.08,0.23,0.4
urban poverty,0.02,0.25,0.17,0.16,0.32,0.23,0.35,0.02,0.17,0.27
functional zone classification,0.03,0.22,0.05,0.04,0.27,0.06,0.27,0.26,0.23,0.18
urban functional area,0.02,0.23,0.23,0.17,0.48,0.29,0.33,0.11,0.36,0.34
identify urban poverty,-0.01,0.3,0.17,0.08,0.37,0.18,0.43,0.03,0.17,0.32
poverty,-0.05,0.26,0.1,0.07,0.19,0.12,0.36,0.06,0.01,0.21
urban functional,0.11,0.26,0.13,0.15,0.41,0.19,0.35,0.18,0.32,0.25
