,urban planning reform,expert system,urban information system,heterogeneous expert knowledge,democratic urban land,expert system approach,intelligent decision making,mathematical programming,expert,urban land dynamic
travel,0.29,0.28,0.39,0.16,0.25,0.3,0.32,0.1,0.21,0.25
traffic,0.31,0.3,0.45,0.13,0.26,0.32,0.24,0.11,0.13,0.34
urban human mobility,0.62,0.44,0.65,0.43,0.61,0.48,0.4,0.24,0.3,0.66
mobility,0.23,0.17,0.29,0.24,0.18,0.21,0.17,0.16,0.06,0.3
human mobility,0.36,0.39,0.45,0.42,0.36,0.44,0.38,0.24,0.28,0.4
bike,0.12,0.17,0.19,0.06,0.14,0.19,0.13,0.02,0.11,0.2
transit,0.32,0.29,0.39,0.09,0.24,0.27,0.2,0.08,0.08,0.28
transportation mode recognition,0.46,0.5,0.61,0.34,0.39,0.54,0.45,0.28,0.24,0.48
trajectory,0.12,0.12,0.11,0.09,0.06,0.22,0.08,0.15,0.02,0.18
human mobility data,0.4,0.49,0.62,0.5,0.37,0.52,0.44,0.35,0.3,0.44
