,positive deviance,urban planning firm,personality,social media data,tweet,player,input excerpt must,six possible personality,possible personality class,media data analysis
landscape pattern,0.13,0.37,0.27,0.32,-0.14,0.14,0.21,0.32,0.33,0.31
land cover pattern,0.08,0.45,0.16,0.39,-0.13,0.2,0.38,0.46,0.41,0.36
urban greenness space,0.06,0.54,0.13,0.35,-0.03,0.04,0.16,0.2,0.28,0.29
landscape,0.01,0.39,0.22,0.24,-0.14,0.1,0.05,0.2,0.2,0.19
various land cover,0.04,0.48,0.15,0.46,-0.16,0.22,0.37,0.5,0.42,0.37
dust,0.13,0.08,0.08,0.14,0.03,0.08,0.1,0.18,0.12,0.18
sediment yield,0.22,0.13,0.01,0.19,-0.07,0.01,0.21,0.17,0.14,0.27
urban greenness,0.06,0.45,0.07,0.17,-0.02,-0.11,0.04,-0.01,0.12,0.09
sediment,0.1,0.05,-0.02,0.09,-0.01,-0.04,0.1,0.02,0.04,0.16
watershed soil erosion,0.1,0.26,0.0,0.22,-0.14,-0.01,0.18,0.16,0.14,0.22
