,urban planning reform,expert system,urban information system,heterogeneous expert knowledge,democratic urban land,expert system approach,intelligent decision making,mathematical programming,expert,urban land dynamic
soundscape,-0.08,-0.06,-0.01,0.09,-0.11,-0.05,-0.13,0.05,-0.06,0.05
perception,0.19,0.25,0.31,0.37,0.19,0.34,0.33,0.21,0.13,0.27
street,0.23,0.17,0.25,0.01,0.2,0.2,0.19,0.05,0.1,0.19
greenery,0.06,-0.11,0.07,-0.04,0.12,-0.1,-0.09,-0.04,-0.14,0.18
public space,0.5,0.42,0.59,0.31,0.47,0.47,0.47,0.3,0.2,0.48
street greenery,0.21,0.06,0.24,-0.02,0.23,0.09,0.09,0.01,-0.01,0.26
human perception,0.32,0.43,0.44,0.47,0.36,0.49,0.46,0.25,0.32,0.36
perceptual,-0.05,0.11,0.09,0.26,-0.08,0.11,0.02,0.24,0.06,0.03
pedestrian,0.16,0.08,0.23,0.07,0.14,0.14,0.13,0.03,0.02,0.23
street view image,0.35,0.35,0.45,0.2,0.36,0.45,0.43,0.21,0.19,0.38
