,carbon emission,climate change mitigation,emission,built environment factor,heterogeneous urban environment,climate,urban data science,air quality monitoring,air quality,carbon
crash,0.06,0.13,-0.0,0.23,-0.01,0.09,0.18,0.25,0.28,0.11
vehicle ownership,0.3,0.24,0.31,0.42,0.28,0.16,0.32,0.39,0.38,0.24
crime,0.09,0.27,0.05,0.25,0.24,0.24,0.36,0.25,0.22,0.12
ownership,0.18,0.17,0.19,0.32,0.24,0.09,0.21,0.24,0.24,0.13
waterlogging,0.01,0.06,0.03,-0.11,-0.01,0.05,-0.15,-0.13,-0.11,-0.01
opportunistic,-0.01,0.11,0.03,-0.03,0.06,0.06,-0.03,-0.03,-0.01,-0.05
public transportation route,0.16,0.26,0.14,0.45,0.31,0.21,0.45,0.44,0.44,0.16
scale urban problem,0.25,0.45,0.21,0.55,0.6,0.36,0.63,0.46,0.43,0.25
real world data,0.23,0.39,0.16,0.52,0.38,0.36,0.68,0.49,0.46,0.26
game abstraction framework,0.22,0.31,0.17,0.4,0.34,0.25,0.39,0.31,0.3,0.22
