,smart urban environment,urban design problem,let spatial agent,game,interactive machine learning,urban aesthetic,aesthetic,present study aim,typical spatial behaviour,structured simple space
land use category,0.49,0.52,0.42,0.28,0.33,0.36,0.15,0.49,0.3,0.5
essential urban land,0.7,0.68,0.32,0.2,0.28,0.64,0.24,0.52,0.27,0.45
urban functional zone,0.66,0.67,0.31,0.23,0.34,0.66,0.31,0.45,0.37,0.49
urban land use,0.68,0.7,0.39,0.25,0.32,0.59,0.17,0.53,0.3,0.48
urban poverty,0.64,0.63,0.13,0.11,0.19,0.63,0.14,0.45,0.21,0.28
functional zone classification,0.37,0.43,0.35,0.22,0.32,0.36,0.25,0.38,0.43,0.46
urban functional area,0.67,0.74,0.31,0.2,0.36,0.71,0.33,0.51,0.41,0.5
identify urban poverty,0.64,0.67,0.26,0.13,0.26,0.6,0.17,0.58,0.29,0.34
poverty,0.35,0.37,0.07,0.08,0.12,0.31,0.04,0.41,0.13,0.16
urban functional,0.69,0.73,0.27,0.13,0.35,0.76,0.41,0.46,0.44,0.53
