,land cover classification,land cover,data weighting method,urban land cover,optical,land cover mapping,cover,image classification,data weighting,eight machine learning
park accessibility,0.28,0.28,0.09,0.33,0.06,0.31,0.17,0.16,0.09,0.21
densification,-0.19,-0.26,-0.04,-0.19,0.05,-0.23,-0.2,-0.08,-0.03,-0.26
spatial pattern metric,0.31,0.17,0.49,0.2,0.4,0.35,0.12,0.41,0.44,0.26
land policy,0.63,0.73,0.2,0.72,0.02,0.67,0.34,0.23,0.14,0.3
mapping urban form,0.49,0.43,0.42,0.65,0.23,0.67,0.28,0.42,0.31,0.35
city block level,0.4,0.42,0.23,0.5,0.1,0.38,0.31,0.24,0.19,0.47
open space area,0.51,0.57,0.24,0.61,0.15,0.58,0.39,0.25,0.19,0.46
park accessibility change,0.41,0.39,0.21,0.45,0.11,0.42,0.27,0.3,0.18,0.32
predict building height,0.36,0.36,0.3,0.37,0.19,0.38,0.28,0.25,0.24,0.38
land readjustment policy,0.48,0.55,0.19,0.58,0.0,0.51,0.24,0.14,0.16,0.19
