,smart urban environment,urban design problem,let spatial agent,game,interactive machine learning,urban aesthetic,aesthetic,present study aim,typical spatial behaviour,structured simple space
signal,0.17,0.23,0.28,0.12,0.25,0.06,0.01,0.27,0.32,0.23
positioning,0.22,0.15,0.2,0.12,0.27,0.1,0.13,0.2,0.25,0.26
positioning accuracy,0.21,0.21,0.26,0.18,0.32,0.15,0.21,0.29,0.33,0.27
multipath,-0.05,-0.02,0.03,-0.16,0.0,0.03,0.07,-0.18,0.13,-0.01
path loss,0.25,0.32,0.27,0.34,0.23,0.19,0.11,0.38,0.24,0.3
localization,0.07,0.09,0.19,0.04,0.09,0.1,0.1,0.06,0.3,0.08
positioning performance,0.34,0.33,0.3,0.32,0.4,0.21,0.22,0.37,0.38,0.37
receiver,0.06,0.12,0.29,0.25,0.09,-0.02,-0.05,0.01,0.11,0.1
reception,0.16,0.14,0.08,0.23,0.15,0.12,0.09,0.16,0.16,0.17
fingerprint,0.04,0.09,0.14,0.01,0.12,0.0,0.03,0.09,0.11,0.0
