,crash,vehicle ownership,crime,ownership,waterlogging,opportunistic,public transportation route,scale urban problem,real world data,game abstraction framework
traffic,0.37,0.38,0.32,0.15,0.06,-0.05,0.59,0.39,0.36,0.13
traffic light control,0.36,0.53,0.34,0.32,-0.01,-0.03,0.59,0.49,0.52,0.27
road traffic safety,0.44,0.48,0.29,0.21,-0.05,-0.11,0.69,0.42,0.39,0.16
traffic control,0.36,0.53,0.36,0.35,0.01,0.0,0.58,0.49,0.47,0.24
traffic control system,0.35,0.55,0.36,0.37,-0.04,0.03,0.62,0.53,0.52,0.35
routing,-0.02,0.12,-0.05,0.07,0.02,0.07,0.29,0.07,0.16,0.2
light control,0.27,0.5,0.28,0.36,-0.06,-0.01,0.45,0.45,0.51,0.31
traffic safety,0.44,0.45,0.32,0.2,-0.01,-0.07,0.62,0.43,0.4,0.16
pedestrian,0.15,0.2,0.12,-0.01,0.05,0.01,0.34,0.19,0.08,0.1
congestion,0.15,0.2,0.24,0.12,0.21,0.07,0.37,0.36,0.13,0.1
