,carbon emission,climate change mitigation,emission,built environment factor,heterogeneous urban environment,climate,urban data science,air quality monitoring,air quality,carbon
road traffic noise,0.26,0.28,0.26,0.44,0.29,0.2,0.36,0.48,0.46,0.21
urban form indicator,0.26,0.37,0.19,0.52,0.61,0.34,0.66,0.43,0.39,0.28
interface network,0.17,0.22,0.15,0.39,0.41,0.18,0.46,0.42,0.37,0.17
interface network connectivity,0.19,0.23,0.16,0.38,0.43,0.19,0.44,0.41,0.37,0.17
classical urban design,0.18,0.29,0.15,0.52,0.59,0.23,0.64,0.36,0.39,0.18
housing estate,0.11,0.23,0.06,0.45,0.33,0.19,0.4,0.23,0.23,0.14
greenway suitability analysis,0.15,0.23,0.14,0.22,0.21,0.14,0.3,0.29,0.21,0.13
using network analysis,0.28,0.36,0.2,0.48,0.38,0.27,0.62,0.56,0.47,0.3
economic assessment using,0.29,0.51,0.24,0.56,0.42,0.46,0.6,0.54,0.44,0.29
assessment using machine,0.27,0.31,0.24,0.47,0.3,0.25,0.51,0.52,0.45,0.25
