,land use category,essential urban land,urban functional zone,urban land use,urban poverty,functional zone classification,urban functional area,identify urban poverty,poverty,urban functional
aerial,0.28,0.23,0.2,0.29,0.08,0.18,0.2,0.11,0.02,0.16
point cloud,0.36,0.3,0.26,0.32,0.17,0.25,0.26,0.21,0.16,0.13
detection,0.21,0.12,0.24,0.18,0.09,0.32,0.22,0.22,0.1,0.19
deep,0.23,0.27,0.3,0.28,0.26,0.22,0.26,0.27,0.27,0.19
cloud,0.2,0.13,0.16,0.16,0.07,0.16,0.14,0.08,0.05,0.08
object,0.36,0.23,0.27,0.26,0.08,0.33,0.29,0.22,0.05,0.27
building detection,0.4,0.35,0.4,0.39,0.2,0.4,0.43,0.32,0.14,0.34
segmentation,-0.04,-0.08,0.03,-0.07,-0.02,0.14,0.06,0.03,-0.0,0.11
semantic segmentation,0.06,-0.03,0.11,-0.02,-0.02,0.27,0.14,0.05,0.01,0.21
airborne,0.14,0.11,0.15,0.14,0.03,0.14,0.14,0.08,-0.01,0.1
