,traffic,traffic light control,road traffic safety,traffic control,traffic control system,routing,light control,traffic safety,pedestrian,congestion
land use category,0.32,0.52,0.4,0.47,0.53,0.13,0.53,0.36,0.15,0.12
essential urban land,0.32,0.48,0.42,0.47,0.51,0.07,0.48,0.37,0.21,0.26
urban functional zone,0.34,0.43,0.4,0.44,0.48,0.12,0.39,0.4,0.36,0.29
urban land use,0.37,0.54,0.44,0.52,0.57,0.11,0.54,0.39,0.23,0.28
urban poverty,0.25,0.3,0.3,0.31,0.34,-0.04,0.26,0.27,0.17,0.34
functional zone classification,0.24,0.35,0.31,0.34,0.44,0.21,0.34,0.32,0.23,0.17
urban functional area,0.35,0.45,0.4,0.44,0.48,0.14,0.41,0.37,0.36,0.3
identify urban poverty,0.29,0.36,0.34,0.36,0.41,-0.02,0.32,0.33,0.17,0.31
poverty,0.14,0.19,0.2,0.2,0.24,-0.1,0.18,0.18,0.01,0.24
urban functional,0.28,0.35,0.3,0.36,0.41,0.12,0.33,0.3,0.32,0.29
