,positive deviance,urban planning firm,personality,social media data,tweet,player,input excerpt must,six possible personality,possible personality class,media data analysis
land use category,0.11,0.47,0.16,0.45,-0.06,0.27,0.39,0.47,0.52,0.41
essential urban land,0.08,0.67,0.1,0.43,-0.17,0.16,0.33,0.35,0.38,0.33
urban functional zone,0.1,0.56,0.17,0.39,-0.11,0.1,0.25,0.34,0.37,0.35
urban land use,0.04,0.68,0.11,0.45,-0.13,0.2,0.33,0.38,0.41,0.37
urban poverty,0.1,0.58,0.06,0.4,-0.1,0.07,0.17,0.2,0.27,0.24
functional zone classification,0.17,0.3,0.2,0.33,-0.12,0.11,0.25,0.36,0.4,0.36
urban functional area,0.1,0.62,0.18,0.41,-0.16,0.12,0.26,0.35,0.4,0.37
identify urban poverty,0.16,0.59,0.14,0.49,-0.1,0.12,0.28,0.35,0.41,0.36
poverty,0.13,0.32,0.02,0.33,-0.04,0.03,0.16,0.17,0.21,0.18
urban functional,0.13,0.58,0.21,0.38,-0.11,0.07,0.26,0.29,0.38,0.34
