,crash,vehicle ownership,crime,ownership,waterlogging,opportunistic,public transportation route,scale urban problem,real world data,game abstraction framework
park accessibility,0.12,0.28,0.07,0.22,-0.02,-0.09,0.42,0.27,0.24,0.26
densification,-0.14,-0.13,-0.15,-0.07,0.28,0.04,-0.14,-0.08,-0.29,-0.17
spatial pattern metric,0.01,0.14,0.07,0.08,0.01,0.02,0.16,0.38,0.31,0.38
land policy,0.17,0.51,0.27,0.5,-0.09,0.02,0.46,0.5,0.46,0.33
mapping urban form,0.07,0.31,0.31,0.22,-0.05,-0.01,0.42,0.69,0.49,0.43
city block level,0.19,0.39,0.36,0.29,-0.23,-0.05,0.51,0.52,0.5,0.36
open space area,0.24,0.39,0.2,0.26,-0.14,-0.08,0.49,0.52,0.53,0.37
park accessibility change,0.17,0.39,0.17,0.32,-0.06,-0.04,0.49,0.42,0.41,0.37
predict building height,0.24,0.38,0.19,0.27,-0.07,-0.04,0.32,0.48,0.44,0.28
land readjustment policy,0.11,0.43,0.19,0.44,0.02,0.03,0.34,0.45,0.32,0.3
