,park accessibility,densification,spatial pattern metric,land policy,mapping urban form,city block level,open space area,park accessibility change,predict building height,land readjustment policy
aerial,0.1,-0.05,0.2,0.15,0.34,0.13,0.23,0.1,0.2,0.12
point cloud,0.22,-0.26,0.23,0.36,0.35,0.46,0.45,0.33,0.43,0.22
detection,0.15,-0.05,0.26,0.1,0.26,0.13,0.17,0.19,0.23,0.1
deep,0.05,-0.14,0.17,0.27,0.28,0.31,0.37,0.15,0.24,0.19
cloud,0.11,-0.08,0.13,0.15,0.23,0.25,0.27,0.16,0.26,0.06
object,0.09,-0.16,0.39,0.22,0.35,0.24,0.34,0.2,0.29,0.12
building detection,0.33,-0.16,0.26,0.31,0.36,0.47,0.46,0.4,0.6,0.27
segmentation,-0.03,0.19,0.24,-0.09,0.05,-0.21,-0.12,-0.03,-0.05,0.01
semantic segmentation,0.08,0.1,0.39,-0.04,0.17,-0.17,-0.06,0.09,-0.0,0.06
airborne,-0.01,-0.11,0.08,0.06,0.17,0.13,0.17,0.01,0.09,0.08
