,land cover classification,land cover,data weighting method,urban land cover,optical,land cover mapping,cover,image classification,data weighting,eight machine learning
binary urban footprint,0.33,0.23,0.43,0.43,0.31,0.34,0.13,0.4,0.39,0.22
urban land expansion,0.61,0.69,0.19,0.86,0.08,0.65,0.3,0.22,0.15,0.31
building height,0.38,0.41,0.19,0.41,0.16,0.38,0.31,0.24,0.13,0.38
driving force,0.33,0.39,0.19,0.38,0.05,0.35,0.3,0.16,0.14,0.43
urban footprint,0.33,0.33,0.27,0.6,0.16,0.37,0.18,0.27,0.26,0.17
land price,0.63,0.74,0.24,0.68,0.05,0.64,0.36,0.19,0.2,0.27
expansion,0.29,0.32,0.18,0.37,0.14,0.32,0.2,0.14,0.16,0.27
main driving force,0.38,0.42,0.24,0.43,0.08,0.37,0.33,0.21,0.18,0.47
body mass index,0.36,0.32,0.46,0.33,0.21,0.32,0.26,0.32,0.44,0.31
residential land price,0.59,0.7,0.24,0.73,0.1,0.61,0.35,0.14,0.21,0.31
