,land use category,essential urban land,urban functional zone,urban land use,urban poverty,functional zone classification,urban functional area,identify urban poverty,poverty,urban functional
carbon emission,0.21,0.22,0.25,0.24,0.19,0.27,0.21,0.24,0.18,0.23
climate change mitigation,0.32,0.41,0.33,0.39,0.4,0.34,0.34,0.44,0.36,0.32
emission,0.16,0.16,0.22,0.18,0.14,0.27,0.18,0.19,0.13,0.2
built environment factor,0.51,0.56,0.53,0.54,0.41,0.43,0.55,0.45,0.29,0.49
heterogeneous urban environment,0.36,0.63,0.66,0.59,0.62,0.45,0.68,0.62,0.35,0.71
climate,0.25,0.33,0.3,0.3,0.38,0.35,0.28,0.38,0.36,0.25
urban data science,0.51,0.63,0.61,0.64,0.57,0.44,0.65,0.61,0.33,0.64
air quality monitoring,0.43,0.46,0.43,0.46,0.27,0.35,0.42,0.35,0.18,0.37
air quality,0.44,0.44,0.37,0.46,0.26,0.29,0.38,0.31,0.15,0.33
carbon,0.21,0.24,0.23,0.25,0.21,0.22,0.2,0.25,0.2,0.22
