,crash,vehicle ownership,crime,ownership,waterlogging,opportunistic,public transportation route,scale urban problem,real world data,game abstraction framework
binary urban footprint,-0.03,0.26,0.12,0.17,-0.03,0.0,0.2,0.53,0.31,0.26
urban land expansion,0.14,0.49,0.26,0.46,-0.06,-0.01,0.47,0.69,0.43,0.3
building height,0.18,0.4,0.14,0.3,-0.1,-0.12,0.33,0.43,0.35,0.26
driving force,0.37,0.49,0.33,0.2,-0.15,-0.01,0.38,0.4,0.37,0.24
urban footprint,0.01,0.29,0.23,0.21,0.03,-0.06,0.28,0.62,0.29,0.18
land price,0.23,0.53,0.24,0.48,-0.11,0.0,0.4,0.44,0.45,0.24
expansion,0.07,0.31,0.11,0.32,-0.15,0.07,0.32,0.39,0.32,0.3
main driving force,0.34,0.49,0.32,0.21,-0.17,-0.03,0.47,0.46,0.44,0.28
body mass index,0.25,0.32,0.26,0.18,-0.19,-0.07,0.33,0.37,0.46,0.25
residential land price,0.21,0.56,0.24,0.47,-0.14,-0.0,0.46,0.51,0.45,0.24
