,positive deviance,urban planning firm,personality,social media data,tweet,player,input excerpt must,six possible personality,possible personality class,media data analysis
traffic,0.09,0.35,0.08,0.35,-0.04,0.12,0.16,0.26,0.25,0.31
traffic light control,0.15,0.43,0.19,0.49,-0.11,0.21,0.31,0.46,0.44,0.46
road traffic safety,0.12,0.4,0.06,0.38,-0.12,0.19,0.22,0.33,0.31,0.34
traffic control,0.14,0.44,0.18,0.49,-0.1,0.21,0.3,0.4,0.36,0.44
traffic control system,0.13,0.48,0.2,0.58,-0.11,0.26,0.36,0.45,0.45,0.52
routing,0.07,0.08,0.08,0.15,0.05,0.08,0.14,0.1,0.12,0.19
light control,0.16,0.39,0.22,0.47,-0.13,0.22,0.35,0.49,0.46,0.45
traffic safety,0.14,0.39,0.07,0.43,-0.08,0.17,0.23,0.32,0.31,0.39
pedestrian,0.05,0.13,0.04,0.06,-0.05,0.01,0.05,0.12,0.08,0.04
congestion,0.04,0.26,0.01,0.15,-0.0,-0.02,0.07,0.09,0.14,0.11
