,positive deviance,urban planning firm,personality,social media data,tweet,player,input excerpt must,six possible personality,possible personality class,media data analysis
crash,0.08,0.15,0.07,0.22,0.01,0.11,0.08,0.28,0.21,0.25
vehicle ownership,0.12,0.41,0.18,0.37,-0.13,0.19,0.23,0.37,0.4,0.35
crime,0.16,0.34,0.16,0.37,-0.18,0.1,0.15,0.32,0.33,0.29
ownership,0.11,0.34,0.17,0.32,-0.11,0.16,0.19,0.26,0.31,0.28
waterlogging,0.04,-0.16,0.01,-0.2,0.01,-0.23,-0.12,-0.22,-0.13,-0.2
opportunistic,0.14,-0.03,0.11,0.05,-0.02,0.05,0.06,0.06,0.11,0.04
public transportation route,0.07,0.53,0.07,0.44,-0.15,0.14,0.23,0.36,0.37,0.39
scale urban problem,0.14,0.65,0.18,0.49,-0.18,0.2,0.3,0.43,0.48,0.42
real world data,0.22,0.5,0.24,0.73,-0.03,0.38,0.45,0.53,0.52,0.71
game abstraction framework,0.18,0.29,0.2,0.41,-0.09,0.35,0.36,0.39,0.36,0.4
