,crash,vehicle ownership,crime,ownership,waterlogging,opportunistic,public transportation route,scale urban problem,real world data,game abstraction framework
carbon emission,0.06,0.3,0.09,0.18,0.01,-0.01,0.16,0.25,0.23,0.22
climate change mitigation,0.13,0.24,0.27,0.17,0.06,0.11,0.26,0.45,0.39,0.31
emission,-0.0,0.31,0.05,0.19,0.03,0.03,0.14,0.21,0.16,0.17
built environment factor,0.23,0.42,0.25,0.32,-0.11,-0.03,0.45,0.55,0.52,0.4
heterogeneous urban environment,-0.01,0.28,0.24,0.24,-0.01,0.06,0.31,0.6,0.38,0.34
climate,0.09,0.16,0.24,0.09,0.05,0.06,0.21,0.36,0.36,0.25
urban data science,0.18,0.32,0.36,0.21,-0.15,-0.03,0.45,0.63,0.68,0.39
air quality monitoring,0.25,0.39,0.25,0.24,-0.13,-0.03,0.44,0.46,0.49,0.31
air quality,0.28,0.38,0.22,0.24,-0.11,-0.01,0.44,0.43,0.46,0.3
carbon,0.11,0.24,0.12,0.13,-0.01,-0.05,0.16,0.25,0.26,0.22
