,land use category,essential urban land,urban functional zone,urban land use,urban poverty,functional zone classification,urban functional area,identify urban poverty,poverty,urban functional
temperature,0.2,0.17,0.26,0.17,0.12,0.33,0.24,0.14,0.1,0.21
thermal,0.12,0.14,0.25,0.16,0.08,0.29,0.25,0.11,0.04,0.25
cooling,0.16,0.14,0.23,0.16,0.05,0.23,0.21,0.05,0.01,0.2
surface temperature,0.29,0.26,0.35,0.29,0.15,0.4,0.35,0.2,0.1,0.3
energy,0.3,0.34,0.24,0.31,0.23,0.18,0.25,0.26,0.19,0.25
land surface temperature,0.55,0.54,0.43,0.58,0.29,0.41,0.47,0.32,0.2,0.36
urban heat island,0.48,0.63,0.57,0.65,0.57,0.35,0.6,0.55,0.34,0.53
ventilation,0.05,0.07,0.13,0.1,0.06,0.16,0.16,0.08,0.04,0.15
thermal comfort,0.19,0.23,0.35,0.23,0.17,0.33,0.31,0.2,0.13,0.31
comfort,0.19,0.23,0.29,0.2,0.2,0.23,0.23,0.22,0.17,0.23
