,positive deviance,urban planning firm,personality,social media data,tweet,player,input excerpt must,six possible personality,possible personality class,media data analysis
soundscape,0.02,-0.09,-0.01,-0.03,0.05,-0.16,-0.08,-0.19,-0.14,-0.01
perception,0.3,0.18,0.36,0.4,-0.04,0.12,0.25,0.3,0.37,0.37
street,0.1,0.27,0.12,0.26,-0.09,0.11,0.11,0.24,0.24,0.22
greenery,0.01,0.07,-0.08,-0.05,0.02,-0.14,-0.02,-0.11,-0.13,-0.11
public space,0.1,0.54,0.22,0.58,-0.07,0.23,0.32,0.47,0.47,0.51
street greenery,0.09,0.25,0.04,0.17,-0.06,-0.01,0.07,0.11,0.1,0.1
human perception,0.31,0.32,0.37,0.55,-0.08,0.18,0.34,0.46,0.46,0.49
perceptual,0.25,-0.11,0.19,0.16,0.03,-0.08,0.19,0.03,0.1,0.15
pedestrian,0.05,0.13,0.04,0.06,-0.05,0.01,0.05,0.12,0.08,0.04
street view image,0.23,0.38,0.32,0.52,-0.09,0.21,0.3,0.46,0.46,0.48
