,land use category,essential urban land,urban functional zone,urban land use,urban poverty,functional zone classification,urban functional area,identify urban poverty,poverty,urban functional
positive deviance,0.11,0.08,0.1,0.04,0.1,0.17,0.1,0.16,0.13,0.13
urban planning firm,0.47,0.67,0.56,0.68,0.58,0.3,0.62,0.59,0.32,0.58
personality,0.16,0.1,0.17,0.11,0.06,0.2,0.18,0.14,0.02,0.21
social media data,0.45,0.43,0.39,0.45,0.4,0.33,0.41,0.49,0.33,0.38
tweet,-0.06,-0.17,-0.11,-0.13,-0.1,-0.12,-0.16,-0.1,-0.04,-0.11
player,0.27,0.16,0.1,0.2,0.07,0.11,0.12,0.12,0.03,0.07
input excerpt must,0.39,0.33,0.25,0.33,0.17,0.25,0.26,0.28,0.16,0.26
six possible personality,0.47,0.35,0.34,0.38,0.2,0.36,0.35,0.35,0.17,0.29
possible personality class,0.52,0.38,0.37,0.41,0.27,0.4,0.4,0.41,0.21,0.38
media data analysis,0.41,0.33,0.35,0.37,0.24,0.36,0.37,0.36,0.18,0.34
