,park accessibility,densification,spatial pattern metric,land policy,mapping urban form,city block level,open space area,park accessibility change,predict building height,land readjustment policy
positive deviance,0.01,0.15,0.24,0.08,0.16,0.08,0.03,0.12,0.11,0.12
urban planning firm,0.29,-0.19,0.19,0.56,0.65,0.52,0.49,0.42,0.4,0.47
personality,0.1,-0.11,0.18,0.11,0.17,0.13,0.11,0.22,0.24,0.08
social media data,0.24,-0.21,0.31,0.45,0.53,0.46,0.44,0.41,0.39,0.31
tweet,-0.09,-0.05,-0.08,-0.14,-0.12,-0.14,-0.13,-0.06,-0.13,-0.11
player,0.08,-0.17,0.07,0.16,0.17,0.35,0.29,0.19,0.19,0.09
input excerpt must,0.1,-0.06,0.31,0.31,0.32,0.34,0.26,0.28,0.22,0.24
six possible personality,0.18,-0.33,0.26,0.4,0.34,0.49,0.45,0.39,0.49,0.26
possible personality class,0.19,-0.27,0.28,0.36,0.41,0.48,0.4,0.38,0.44,0.25
media data analysis,0.17,-0.18,0.4,0.38,0.5,0.37,0.4,0.32,0.37,0.26
