,urban planning reform,expert system,urban information system,heterogeneous expert knowledge,democratic urban land,expert system approach,intelligent decision making,mathematical programming,expert,urban land dynamic
land cover,0.46,0.26,0.47,0.16,0.63,0.31,0.35,0.1,0.08,0.65
land cover change,0.58,0.37,0.57,0.25,0.68,0.45,0.5,0.17,0.15,0.69
cropland,-0.02,-0.15,-0.04,-0.05,0.1,-0.15,-0.06,-0.08,-0.17,0.17
cover,0.29,0.17,0.33,0.12,0.27,0.22,0.24,0.14,0.06,0.27
land cover map,0.48,0.34,0.53,0.24,0.6,0.38,0.33,0.17,0.16,0.63
annual,0.31,0.18,0.25,0.05,0.22,0.2,0.19,0.17,0.11,0.21
impervious surface,0.05,0.14,0.22,0.19,0.16,0.17,0.13,0.09,0.01,0.27
green area,0.43,0.29,0.46,0.17,0.55,0.35,0.28,0.08,0.18,0.53
land use change,0.58,0.48,0.63,0.34,0.69,0.57,0.58,0.23,0.23,0.72
annual growth rate,0.44,0.27,0.41,0.13,0.35,0.31,0.32,0.19,0.11,0.4
