,urban planning reform,expert system,urban information system,heterogeneous expert knowledge,democratic urban land,expert system approach,intelligent decision making,mathematical programming,expert,urban land dynamic
topic modeling,0.27,0.3,0.33,0.43,0.15,0.39,0.36,0.52,0.25,0.28
retail store placement,0.28,0.23,0.39,0.16,0.22,0.28,0.26,0.23,0.11,0.3
store placement problem,0.35,0.4,0.5,0.3,0.3,0.47,0.4,0.35,0.22,0.39
syntactic,-0.06,-0.04,0.03,0.11,-0.07,0.0,0.02,0.27,-0.09,0.01
store,0.15,0.15,0.28,0.06,0.17,0.17,0.18,0.12,0.06,0.2
leisure,0.2,0.04,0.23,0.11,0.15,0.06,0.12,0.13,0.02,0.24
heterogeneous urban data,0.53,0.39,0.71,0.61,0.46,0.41,0.31,0.34,0.17,0.64
store placement,0.21,0.23,0.35,0.18,0.16,0.28,0.27,0.25,0.11,0.26
business,0.43,0.37,0.46,0.28,0.35,0.42,0.42,0.28,0.25,0.39
functional region,0.4,0.36,0.47,0.32,0.38,0.41,0.28,0.31,0.17,0.46
