,land use category,essential urban land,urban functional zone,urban land use,urban poverty,functional zone classification,urban functional area,identify urban poverty,poverty,urban functional
land use category,1.0,0.7,0.45,0.82,0.38,0.43,0.54,0.46,0.26,0.44
essential urban land,0.7,1.0,0.66,0.89,0.7,0.38,0.73,0.7,0.45,0.67
urban functional zone,0.45,0.66,1.0,0.62,0.62,0.79,0.89,0.61,0.36,0.88
urban land use,0.82,0.89,0.62,1.0,0.65,0.36,0.71,0.67,0.4,0.62
urban poverty,0.38,0.7,0.62,0.65,1.0,0.29,0.63,0.92,0.87,0.65
functional zone classification,0.43,0.38,0.79,0.36,0.29,1.0,0.65,0.35,0.19,0.64
urban functional area,0.54,0.73,0.89,0.71,0.63,0.65,1.0,0.65,0.34,0.92
identify urban poverty,0.46,0.7,0.61,0.67,0.92,0.35,0.65,1.0,0.81,0.66
poverty,0.26,0.45,0.36,0.4,0.87,0.19,0.34,0.81,1.0,0.35
urban functional,0.44,0.67,0.88,0.62,0.65,0.64,0.92,0.66,0.35,1.0
