,positive deviance,urban planning firm,personality,social media data,tweet,player,input excerpt must,six possible personality,possible personality class,media data analysis
smart infrastructure system,0.08,0.56,0.21,0.54,-0.09,0.26,0.31,0.4,0.45,0.47
smart infrastructure,0.07,0.54,0.19,0.42,-0.06,0.19,0.22,0.32,0.36,0.36
infrastructure system,0.08,0.54,0.11,0.55,-0.13,0.19,0.28,0.35,0.38,0.47
outbreak,0.16,0.14,0.03,0.15,-0.03,0.02,0.03,0.27,0.22,0.14
smart city network,0.01,0.58,0.31,0.5,-0.07,0.28,0.27,0.49,0.47,0.45
data sharing,0.15,0.37,0.15,0.7,-0.02,0.19,0.39,0.39,0.35,0.71
governance,0.19,0.35,0.1,0.37,0.0,0.03,0.21,0.15,0.19,0.29
smart,0.04,0.32,0.3,0.24,0.03,0.26,0.2,0.3,0.37,0.25
urban governance,0.13,0.66,0.11,0.45,-0.08,0.08,0.21,0.2,0.28,0.33
air quality,0.14,0.39,0.2,0.41,-0.1,0.27,0.26,0.42,0.39,0.42
