,positive deviance,urban planning firm,personality,social media data,tweet,player,input excerpt must,six possible personality,possible personality class,media data analysis
land cover,-0.02,0.45,0.08,0.33,-0.12,0.18,0.31,0.39,0.32,0.27
land cover change,0.09,0.52,0.19,0.46,-0.08,0.26,0.43,0.52,0.47,0.38
cropland,-0.01,-0.11,-0.08,-0.16,0.02,-0.13,0.01,-0.12,-0.16,-0.14
cover,0.01,0.29,0.13,0.3,-0.05,0.18,0.3,0.38,0.28,0.26
land cover map,-0.01,0.47,0.08,0.37,-0.15,0.2,0.36,0.39,0.34,0.36
annual,0.03,0.3,0.04,0.32,-0.11,0.14,0.18,0.22,0.18,0.28
impervious surface,0.13,0.1,0.11,0.13,-0.05,0.08,0.11,0.16,0.21,0.17
green area,-0.05,0.47,0.09,0.27,-0.18,0.22,0.18,0.36,0.29,0.22
land use change,0.13,0.54,0.2,0.5,-0.06,0.28,0.47,0.53,0.52,0.44
annual growth rate,0.19,0.42,0.05,0.45,-0.12,0.17,0.29,0.35,0.29,0.42
