,park accessibility,densification,spatial pattern metric,land policy,mapping urban form,city block level,open space area,park accessibility change,predict building height,land readjustment policy
crash,0.12,-0.14,0.01,0.17,0.07,0.19,0.24,0.17,0.24,0.11
vehicle ownership,0.28,-0.13,0.14,0.51,0.31,0.39,0.39,0.39,0.38,0.43
crime,0.07,-0.15,0.07,0.27,0.31,0.36,0.2,0.17,0.19,0.19
ownership,0.22,-0.07,0.08,0.5,0.22,0.29,0.26,0.32,0.27,0.44
waterlogging,-0.02,0.28,0.01,-0.09,-0.05,-0.23,-0.14,-0.06,-0.07,0.02
opportunistic,-0.09,0.04,0.02,0.02,-0.01,-0.05,-0.08,-0.04,-0.04,0.03
public transportation route,0.42,-0.14,0.16,0.46,0.42,0.51,0.49,0.49,0.32,0.34
scale urban problem,0.27,-0.08,0.38,0.5,0.69,0.52,0.52,0.42,0.48,0.45
real world data,0.24,-0.29,0.31,0.46,0.49,0.5,0.53,0.41,0.44,0.32
game abstraction framework,0.26,-0.17,0.38,0.33,0.43,0.36,0.37,0.37,0.28,0.3
