,land cover classification,land cover,data weighting method,urban land cover,optical,land cover mapping,cover,image classification,data weighting,eight machine learning
stream water quality,0.4,0.43,0.32,0.48,0.22,0.43,0.33,0.28,0.24,0.37
carbon sequestration potential,0.22,0.2,0.34,0.21,0.26,0.26,0.15,0.2,0.26,0.15
flood,0.25,0.32,0.06,0.33,0.0,0.3,0.24,0.07,0.05,0.14
complexity science research,0.34,0.25,0.42,0.32,0.3,0.36,0.22,0.31,0.34,0.42
automata,-0.02,-0.14,0.09,-0.11,0.09,-0.05,-0.13,0.03,0.06,0.07
land use change,0.71,0.76,0.36,0.74,0.16,0.72,0.43,0.36,0.24,0.43
mosquito,0.05,0.1,0.09,0.12,0.01,0.07,0.07,-0.03,0.04,0.04
analog,0.07,0.08,0.28,0.09,0.41,0.17,0.1,0.09,0.24,0.21
cellular automata,0.07,-0.04,0.23,-0.0,0.25,0.08,-0.05,0.1,0.21,0.17
urban land growth,0.58,0.65,0.27,0.83,0.1,0.62,0.3,0.24,0.23,0.31
