,park accessibility,densification,spatial pattern metric,land policy,mapping urban form,city block level,open space area,park accessibility change,predict building height,land readjustment policy
traffic,0.28,-0.03,0.24,0.26,0.31,0.44,0.35,0.35,0.31,0.18
traffic light control,0.26,-0.21,0.34,0.45,0.42,0.56,0.5,0.41,0.45,0.33
road traffic safety,0.42,-0.09,0.17,0.37,0.33,0.51,0.43,0.48,0.36,0.27
traffic control,0.26,-0.12,0.27,0.44,0.4,0.54,0.46,0.38,0.42,0.34
traffic control system,0.28,-0.14,0.31,0.49,0.48,0.57,0.49,0.43,0.45,0.37
routing,0.09,0.01,0.2,0.08,0.2,0.09,0.12,0.14,0.03,0.11
light control,0.18,-0.28,0.32,0.47,0.39,0.51,0.49,0.36,0.44,0.35
traffic safety,0.35,-0.07,0.21,0.33,0.29,0.46,0.39,0.43,0.33,0.25
pedestrian,0.38,-0.04,0.09,0.08,0.2,0.26,0.28,0.33,0.22,0.08
congestion,0.27,0.15,0.16,0.14,0.27,0.24,0.17,0.31,0.13,0.15
