,smart infrastructure system,smart infrastructure,infrastructure system,outbreak,smart city network,data sharing,governance,smart,urban governance,air quality
park accessibility,0.31,0.29,0.31,0.02,0.32,0.19,0.13,0.16,0.26,0.29
densification,-0.12,-0.09,-0.06,-0.12,-0.23,-0.17,0.01,-0.17,-0.0,-0.12
spatial pattern metric,0.22,0.13,0.25,0.02,0.12,0.33,0.17,0.07,0.21,0.24
land policy,0.47,0.4,0.47,0.16,0.37,0.34,0.37,0.23,0.48,0.35
mapping urban form,0.5,0.41,0.52,0.14,0.44,0.47,0.28,0.22,0.63,0.37
city block level,0.45,0.36,0.45,0.19,0.64,0.36,0.21,0.24,0.4,0.44
open space area,0.42,0.34,0.43,0.15,0.46,0.39,0.11,0.2,0.34,0.46
park accessibility change,0.43,0.37,0.42,0.07,0.42,0.3,0.27,0.24,0.39,0.39
predict building height,0.41,0.36,0.4,0.26,0.37,0.3,0.19,0.23,0.26,0.31
land readjustment policy,0.4,0.37,0.39,0.1,0.24,0.21,0.39,0.2,0.48,0.26
